schema,pp_serve_clip_v1
policy_hz,50.0000000000
frame,time_s,phase,event_mask,left_hip_pitch_joint,right_hip_pitch_joint,waist_yaw_joint,left_hip_roll_joint,right_hip_roll_joint,waist_roll_joint,left_hip_yaw_joint,right_hip_yaw_joint,waist_pitch_joint,left_knee_joint,right_knee_joint,head_yaw_joint,left_shoulder_pitch_joint,right_shoulder_pitch_joint,left_ankle_pitch_joint,right_ankle_pitch_joint,head_pitch_joint,left_shoulder_roll_joint,right_shoulder_roll_joint,left_ankle_roll_joint,right_ankle_roll_joint,left_shoulder_yaw_joint,right_shoulder_yaw_joint,left_elbow_joint,right_elbow_joint,left_wrist_roll_joint,right_wrist_roll_joint,left_wrist_pitch_joint,right_wrist_pitch_joint,left_wrist_yaw_joint,right_wrist_yaw_joint
0,0.0000000000,APPROACH_READY,0,-0.1310000000,-0.1310000000,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,0.3000000000,0.3000000000,-0.1200000000,-0.1200000000,0.0000000000,0.1200000000,-0.1200000000,-0.0080000000,0.0080000000,0.0000000000,0.0000000000,0.8000000000,0.8000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,0.0200000000,APPROACH_READY,0,-0.1310426042,-0.1310426042,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,0.2989734146,0.2994661891,-0.1199573958,-0.1199573958,0.0000000000,0.1198925448,-0.1203993539,-0.0080000000,0.0080000000,-0.0008999515,0.0002619141,0.8003858152,0.7993721808,-0.0022366999,0.0003680542,0.0003256407,-0.0001894881,-0.0003774349,-0.0001164235
2,0.0400000000,APPROACH_READY,0,-0.1311684690,-0.1311684690,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,0.2959405879,0.2978891593,-0.1198315310,-0.1198315310,0.0000000000,0.1195750915,-0.1215791593,-0.0080000000,0.0080000000,-0.0035586654,0.0010356831,0.8015256235,0.7975174233,-0.0088445504,0.0014553916,0.0012876764,-0.0007492902,-0.0014924856,-0.0004603719
3,0.0600000000,APPROACH_READY,0,-0.1313746732,-0.1313746732,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,0.2909719144,0.2953055148,-0.1196253268,-0.1196253268,0.0000000000,0.1190550083,-0.1235120321,-0.0080000000,0.0080000000,-0.0079144307,0.0023033472,0.8033929691,0.7944787782,-0.0196701778,0.0032367740,0.0028637775,-0.0016664127,-0.0033192706,-0.0010238618
4,0.0800000000,APPROACH_READY,0,-0.1316582952,-0.1316582952,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,0.2841377885,0.2917518596,-0.1193417048,-0.1193417048,0.0000000000,0.1183396637,-0.1261705880,-0.0080000000,0.0080000000,-0.0139055365,0.0040469465,0.8059613961,0.7902992958,-0.0345602085,0.0056869636,0.0050316143,-0.0029278621,-0.0058319089,-0.0017989099
5,0.1000000000,APPROACH_READY,0,-0.1320164136,-0.1320164136,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,0.2755086047,0.2872647980,-0.1189835864,-0.1189835864,0.0000000000,0.1174364260,-0.1295274426,-0.0080000000,0.0080000000,-0.0214702717,0.0062485214,0.8092044484,0.7850220266,-0.0533612686,0.0087807223,0.0077688571,-0.0045206451,-0.0090045191,-0.0027775328
6,0.1200000000,APPROACH_READY,0,-0.1324461070,-0.1324461070,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,0.2651547573,0.2818809341,-0.1185538930,-0.1185538930,0.0000000000,0.1163526636,-0.1335552117,-0.0080000000,0.0080000000,-0.0305469255,0.0088901118,0.8130956703,0.7786900211,-0.0759199846,0.0124928120,0.0110531763,-0.0064317681,-0.0128112200,-0.0039517473
7,0.1400000000,APPROACH_READY,0,-0.1329444539,-0.1329444539,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,0.2531466409,0.2756368722,-0.1180555461,-0.1180555461,0.0000000000,0.1150957448,-0.1382265111,-0.0080000000,0.0080000000,-0.0410737869,0.0119537581,0.8176086059,0.7713463297,-0.1020829826,0.0167979949,0.0148622423,-0.0086482377,-0.0172261304,-0.0053135700
8,0.1600000000,APPROACH_READY,0,-0.1335085330,-0.1335085330,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,0.2395546498,0.2685692164,-0.1174914670,-0.1174914670,0.0000000000,0.1136730380,-0.1435139565,-0.0080000000,0.0080000000,-0.0529891449,0.0154215004,0.8227167992,0.7630340029,-0.1316968890,0.0216710329,0.0191737254,-0.0111570604,-0.0222233689,-0.0068550176
9,0.1800000000,APPROACH_READY,0,-0.1341354228,-0.1341354228,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,0.2244491784,0.2607145708,-0.1168645772,-0.1168645772,0.0000000000,0.1120919115,-0.1493901636,-0.0080000000,0.0080000000,-0.0662312886,0.0192753788,0.8283937943,0.7537960912,-0.1646083301,0.0270866879,0.0239652959,-0.0139452427,-0.0277770544,-0.0085681067
