marker_id,parent_frame,child_frame,point_definition,x_m,y_m,z_m,qx,qy,qz,qw,normal_x,normal_y,normal_z,verification
S01,pelvis_link,S01_mount_seat,mount_seat_NOT_ball_center,0.067729807,0.005641390,-0.067692153,0.485711898261,0.504763508028,0.514238758445,0.494829518282,0.999087534096,0.038448750073,0.018595505700,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S02,pelvis_link,S02_mount_seat,mount_seat_NOT_ball_center,0.057298310,0.045573722,-0.055639594,0.333626255804,0.612626030803,0.629248855963,0.342678778289,0.839735759136,0.542335182543,0.026765735640,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S03,pelvis_link,S03_mount_seat,mount_seat_NOT_ball_center,0.020207299,0.071759226,-0.058462309,0.076140723535,0.683363649505,0.721631362999,0.080404531532,0.219782136417,0.974029165220,0.054433425509,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S04,pelvis_link,S04_mount_seat,mount_seat_NOT_ball_center,-0.023647556,0.071855973,-0.061635691,0.058561198288,-0.695440440670,-0.713667739083,0.060096070830,-0.167172951922,0.985588218078,0.025866359073,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S05,pelvis_link,S05_mount_seat,mount_seat_NOT_ball_center,-0.067006401,0.047146358,-0.054588849,0.310749567639,-0.620854326153,-0.643589562153,0.322128991860,-0.799980712703,0.598947837971,0.035949223818,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S06,pelvis_link,S06_mount_seat,mount_seat_NOT_ball_center,-0.078801504,-0.001318890,-0.057610189,0.494010097269,-0.490057187214,-0.505793542593,0.509873385584,-0.999468468698,-0.008029680025,0.031595954111,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S07,pelvis_link,S07_mount_seat,mount_seat_NOT_ball_center,-0.063659135,-0.052069636,-0.060507435,0.632369128617,-0.276801653758,-0.290126219372,0.662809856958,-0.733867458134,-0.677666148726,0.046980259296,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S08,pelvis_link,S08_mount_seat,mount_seat_NOT_ball_center,-0.019843925,-0.071837928,-0.054673431,0.697278863401,-0.053702848237,-0.054888611880,0.712674842429,-0.153090675621,-0.987970858619,0.021836381491,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S09,pelvis_link,S09_mount_seat,mount_seat_NOT_ball_center,0.025426391,-0.070676527,-0.062188558,0.663973914182,0.101776103434,0.112240868879,0.732244667723,0.298100036164,-0.949535839773,0.097560532112,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S10,pelvis_link,S10_mount_seat,mount_seat_NOT_ball_center,0.060479039,-0.039823742,-0.055634823,0.592282188348,0.367999684259,0.378283964206,0.608834365140,0.896203416549,-0.442786741477,0.027556083501,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S11,pelvis_link,S11_mount_seat,mount_seat_NOT_ball_center,0.068482169,0.013735965,-0.093384539,0.462923048150,0.503187278121,0.537035321344,0.494062625846,0.994424111683,0.083032729738,0.065009629258,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S12,pelvis_link,S12_mount_seat,mount_seat_NOT_ball_center,0.055578809,0.068885401,-0.102806531,0.224818655615,0.444055374625,0.773813546058,0.391770331050,0.695870884485,0.511077569897,0.504542792708,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S13,pelvis_link,S13_mount_seat,mount_seat_NOT_ball_center,0.024146193,0.082537205,-0.090197997,0.071168708534,0.366458267334,0.910693610474,0.176862944310,0.259251552509,0.642288190465,0.721286706457,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S14,pelvis_link,S14_mount_seat,mount_seat_NOT_ball_center,-0.035453125,0.082323007,-0.094659395,0.103015589614,-0.404458941039,-0.880620804762,0.224293895435,-0.362870685717,0.666138380532,0.651601506620,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S15,pelvis_link,S15_mount_seat,mount_seat_NOT_ball_center,-0.077708006,0.043973081,-0.097081719,0.332102920578,-0.493131723337,-0.666929331801,0.449148104711,-0.885956715640,0.359441226777,0.293057507165,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S16,pelvis_link,S16_mount_seat,mount_seat_NOT_ball_center,-0.086418544,-0.018962665,-0.113933616,0.474377655884,-0.447546644959,-0.520214726052,0.551402284165,-0.987112969203,-0.057505135417,0.149335680369,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S17,pelvis_link,S17_mount_seat,mount_seat_NOT_ball_center,-0.064902100,-0.064999879,-0.099433423,0.504949739777,-0.205331184181,-0.315801235570,0.776617309049,-0.637855006890,-0.654617732890,0.405729730204,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S18,pelvis_link,S18_mount_seat,mount_seat_NOT_ball_center,-0.022665375,-0.083449080,-0.090042481,0.366102948054,-0.060399975101,-0.151159841595,0.916226596821,-0.221360254541,-0.652606415027,0.724640948867,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S19,pelvis_link,S19_mount_seat,mount_seat_NOT_ball_center,0.034582666,-0.079518426,-0.092801374,0.403055295794,0.116867789982,0.252775493328,0.871775715520,0.407530004931,-0.643665011236,0.647776696394,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S20,pelvis_link,S20_mount_seat,mount_seat_NOT_ball_center,0.066293456,-0.030579854,-0.093059918,0.518651312375,0.418644928088,0.468231502041,0.580083184426,0.971395532116,-0.209676322778,0.111474480715,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S21,pelvis_link,S21_mount_seat,mount_seat_NOT_ball_center,0.078934242,0.034855431,-0.156394927,0.490323353277,0.557155018757,0.503112357516,0.442763198584,0.986750952848,0.126428877502,-0.101677411389,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S22,pelvis_link,S22_mount_seat,mount_seat_NOT_ball_center,0.078915498,-0.034846084,-0.156382922,0.556511222759,0.490118465353,0.443399723822,0.503463835621,0.987027689901,-0.125729765198,-0.099841702274,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
