marker_id,parent_frame,child_frame,point_definition,x_m,y_m,z_m,qx,qy,qz,qw,normal_x,normal_y,normal_z,verification
S01,pelvis_link,S01_sticker,nominal_sticker_surface_0.20mm,0.067929625,0.005649080,-0.067688434,0.485711898261,0.504763508028,0.514238758445,0.494829518282,0.999087534096,0.038448750073,0.018595505700,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S02,pelvis_link,S02_sticker,nominal_sticker_surface_0.20mm,0.057466257,0.045682189,-0.055634241,0.333626255804,0.612626030803,0.629248855963,0.342678778289,0.839735759136,0.542335182543,0.026765735640,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S03,pelvis_link,S03_sticker,nominal_sticker_surface_0.20mm,0.020251256,0.071954032,-0.058451422,0.076140723535,0.683363649505,0.721631362999,0.080404531532,0.219782136417,0.974029165220,0.054433425509,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S04,pelvis_link,S04_sticker,nominal_sticker_surface_0.20mm,-0.023680990,0.072053090,-0.061630517,0.058561198288,-0.695440440670,-0.713667739083,0.060096070830,-0.167172951922,0.985588218078,0.025866359073,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S05,pelvis_link,S05_sticker,nominal_sticker_surface_0.20mm,-0.067166397,0.047266147,-0.054581659,0.310749567639,-0.620854326153,-0.643589562153,0.322128991860,-0.799980712703,0.598947837971,0.035949223818,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S06,pelvis_link,S06_sticker,nominal_sticker_surface_0.20mm,-0.079001398,-0.001320496,-0.057603870,0.494010097269,-0.490057187214,-0.505793542593,0.509873385584,-0.999468468698,-0.008029680025,0.031595954111,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S07,pelvis_link,S07_sticker,nominal_sticker_surface_0.20mm,-0.063805908,-0.052205169,-0.060498038,0.632369128617,-0.276801653758,-0.290126219372,0.662809856958,-0.733867458134,-0.677666148726,0.046980259296,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S08,pelvis_link,S08_sticker,nominal_sticker_surface_0.20mm,-0.019874543,-0.072035522,-0.054669064,0.697278863401,-0.053702848237,-0.054888611880,0.712674842429,-0.153090675621,-0.987970858619,0.021836381491,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S09,pelvis_link,S09_sticker,nominal_sticker_surface_0.20mm,0.025486011,-0.070866434,-0.062169045,0.663973914182,0.101776103434,0.112240868879,0.732244667723,0.298100036164,-0.949535839773,0.097560532112,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
S10,pelvis_link,S10_sticker,nominal_sticker_surface_0.20mm,0.060658280,-0.039912300,-0.055629311,0.592282188348,0.367999684259,0.378283964206,0.608834365140,0.896203416549,-0.442786741477,0.027556083501,CAD_NOMINAL_NOT_PHYSICAL_CALIBRATION
